x,y,z,xt,yt,zt
-0.047673, 0.020800, -0.862879, , , 
-0.464399, 0.274853, -0.777257, , , 
0.171393, 0.182923, -0.790258, , , 
-0.243676, 0.162218, -0.859869, , , 
-0.186052, -0.633944, -1.621284, , , 
-0.845867, -0.476076, -1.476447, , , 
-0.972073, -0.399744, -1.463612, , , 
-0.320094, -0.108650, -0.894480, , , 
-0.139443, 0.173749, -0.851095, , , 
-0.155978, -0.384794, -1.398932, , , 
-0.831231, -0.189216, -1.266487, , , 
-0.372187, 0.197104, -0.846985, , , 
0.345978, -0.159148, -0.912709, , , 
-0.053639, -0.619414, -1.630121, , , 
0.161756, -0.093961, -1.093725, , , 
-0.019702, 0.245706, -0.791034, , , 
-0.432507, -0.050924, -1.057242, , , 
-0.262974, -0.025940, -0.775598, , , 
-0.936467, -0.546755, -1.540747, , , 
-0.049398, 0.089620, -0.894753, , , 
0.398161, -0.163849, -0.909048, , , 
-0.413389, 0.221935, -0.815232, , , 
-0.259868, -0.397284, -1.397886, , , 
-0.183384, -0.501073, -1.481646, , , 
-0.419065, 0.171205, -0.869696, , , 
-0.600081, -0.067003, -1.055782, , , 
-0.851718, -0.476921, -1.483890, , , 
-0.557931, -0.089749, -1.068956, , , 
-0.485855, 0.170734, -0.834074, , , 
-0.464891, 0.105203, -0.887331, , , 
-0.756429, -0.370164, -1.291723, , , 
-0.492209, -0.233561, -1.220031, , , 
-0.539558, -0.346661, -1.368050, , , 
-0.073272, -0.497796, -1.456352, , , 
-0.481791, 0.169439, -0.831531, , , 
-0.793284, -0.293331, -1.243259, , , 
0.001913, -0.494841, -1.492470, , , 
-0.922403, -0.604921, -1.592820, , , 
-0.525982, 0.175064, -0.830317, , , 
-0.574879, -0.087635, -1.063876, , , 
-0.478030, 0.124440, -0.874725, , , 
-0.562697, -0.250667, -1.245664, , , 
-0.197994, 0.098264, -0.727034, , , 
0.467385, -0.055624, -1.023150, , , 
-0.077228, 0.063270, -0.879117, , , 
-0.112067, 0.113704, -0.926136, , , 
0.166816, 0.160479, -0.801810, , , 
-0.386728, -0.275795, -1.164660, , , 
-0.062037, -0.535072, -1.541846, , , 
-0.813566, -0.209842, -1.254993, , , 
-0.182455, -0.421546, -1.396354, , , 
0.006277, -0.278662, -1.223077, , , 
0.506921, -0.091740, -1.072859, , , 
0.167901, 0.162146, -0.802268, , , 
0.178775, 0.122207, -0.847538, , , 
0.479815, 0.050936, -0.892582, , , 
0.285037, -0.141225, -1.150608, , , 
0.301734, 0.127889, -0.823476, , , 
0.390067, 0.195589, -0.767455, , , 
0.474464, -0.059250, -1.035426, , , 
-0.180738, -0.107988, -0.841720, , , 
0.281135, -0.071309, -1.112250, , , 
-0.799795, -1.170928, -2.602167, , , 
-0.097009, -0.571753, -1.547062, , , 
-0.026274, -0.647289, -1.539074, , , 
0.000246, -0.490719, -1.497291, , , 
0.133834, 0.131256, -0.840541, , , 
0.000605, -0.103174, -1.205594, , , 
-0.994680, -0.889800, -1.955483, , , 
-0.027939, -0.432883, -1.382045, , , 
-0.324215, -0.043851, -0.946975, , , 
-0.138625, 0.019546, -0.767662, , , 
-0.507094, -0.014120, -0.982912, , , 
